node_id,node_label,Country Code,Cluster,index,other,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
1,Rwanda,RWA,C4,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,Israel,ISR,C3,1,2,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15
3,Armenia,ARM,C3,2,3,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12
4,Australia,AUS,C5,3,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5,Azerbaijan,AZE,C2,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
6,Spain,ESP,C5,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7,Brazil,BRA,C5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14
8,Slovak Republic,SVK,C5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,Thailand,THA,C2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,Argentina,ARG,C3,9,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14
11,Mexico,MEX,C3,10,11,9,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14
12,Bulgaria,BGR,C5,11,12,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11
13,Tunisia,TUN,C2,12,13,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
14,Georgia,GEO,C2,13,14,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
15,Indonesia,IDN,C2,14,15,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
16,Kazakhstan,KAZ,C2,15,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
17,New Zealand,NZL,C5,16,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
18,Greece,GRC,C5,17,18,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
19,Turkmenistan,TKM,C5,18,19,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,12,12,12,12,12,12
20,Latvia,LVA,C3,19,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
21,Tanzania,TZA,C4,20,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
22,United States,USA,C3,21,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
23,"Venezuela, RB",VEN,C3,22,23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17
24,Switzerland,CHE,C3,23,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
25,Canada,CAN,C5,24,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
26,Romania,ROU,C5,25,26,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
27,Togo,TGO,C5,26,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
28,Czech Republic,,,27,28,,,,,,,,,,,,,,,,,,,,,
