 node_id node_label
0 1 France
1 2 China
2 3 "Puerto Rico"
3 4 Malawi
4 5 Ghana
5 6 "Czech Republic"
6 7 Mexico
7 8 "Venezuela, RB"
8 9 "Sri Lanka"
9 10 Zimbabwe
10 11 Norway
11 12 Turkey
12 13 Brazil
13 14 Tunisia
14 15 Romania
15 16 Ukraine
16 17 Germany
17 18 Pakistan
18 19 Armenia
19 20 "West Bank and Gaza"
20 21 Belarus
21 22 Lithuania
22 23 Bangladesh
23 24 Nigeria
24 25 Algeria
25 26 Latvia
26 27 "Burkina Faso"
27 28 Indonesia
28 29 Eritrea
29 30 Greece
30 31 India
31 32 Canada
32 33 Estonia
33 34 "New Zealand"
34 35 "United States"
35 36 Ethiopia
36 37 Australia
37 38 Myanmar
38 39 Turkmenistan
39 40 Sweden
40 41 Israel
41 42 "Korea, Rep."
42 43 Philippines
43 44 Georgia
44 45 Tajikistan
45 46 Singapore
46 47 "South Africa"
47 48 Morocco
48 49 Azerbaijan
49 50 Nepal
50 51 "Serbia and Montenegro"
51 52 Ireland
52 53 Belgium
53 54 Argentina
54 55 Switzerland
55 56 Kenya
56 57 Mali
57 58 Uzbekistan
58 59 Kazakhstan
59 60 "Russian Federation"
60 61 "Hong Kong SAR, China"
61 62 Austria
62 63 Togo
63 64 Uganda
64 65 Thailand
65 66 Rwanda
66 67 Vietnam
67 68 "Korea, Dem. Rep."
68 69 "Cote d'Ivoire"
69 70 Chile
70 71 Japan
71 72 "Slovak Republic"
72 73 "United Kingdom"
73 74 Tanzania
74 75 "Congo, Dem. Rep."
75 76 "Virgin Islands (U.S.)"
76 77 "Kyrgyz Republic"
77 78 Hungary
78 79 "Syrian Arab Republic"
79 80 Spain
80 81 Malaysia
81 82 Paraguay
82 83 Moldova
83 84 Jamaica
84 85 Portugal
85 86 Cambodia
86 87 Bulgaria
87 88 Poland
88 89 Cameroon
89 90 Mozambique
90 91 Lesotho
91 92 Italy
92 93 Netherlands
