node_label,Country Code,Cluster,index,node_id,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Rwanda,RWA,C4,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Israel,ISR,C3,1,2,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15
Armenia,ARM,C3,2,3,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12
Australia,AUS,C5,3,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Azerbaijan,AZE,C2,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
Spain,ESP,C5,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Brazil,BRA,C5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14
Slovak Republic,SVK,C5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Thailand,THA,C2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Argentina,ARG,C3,9,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14
Mexico,MEX,C3,10,11,9,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14
Bulgaria,BGR,C5,11,12,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11
Tunisia,TUN,C2,12,13,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Georgia,GEO,C2,13,14,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Indonesia,IDN,C2,14,15,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Kazakhstan,KAZ,C2,15,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
New Zealand,NZL,C5,16,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
